tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,25.5242,-63.0332,81.0,0.00222222,0.00222222,7.23077E-20
yellow,53.3463,-59.3176,82.0,0.000909091,0.000909091,9.34942E-21
yellow,30.6958,-67.1383,83.0,0.0016,0.0016,1.41006E-20
blue,57.8444,-56.7326,84.0,0.000540541,0.000540541,7.85507E-21
blue,59.122,-58.7219,85.0,0.000625,0.000625,-1.09059E-20
yellow,54.8278,-60.8703,86.0,0.000625,0.000625,7.71768E-21
yellow,31.4465,-71.1449,87.0,0.0024359,0.0024359,-1.31849E-20
yellow,30.8584,-69.1432,88.0,0.000444444,0.000444444,-2.96699E-21
yellow,55.3774,-63.189,89.0,0.000606061,0.000606061,-8.55937E-21
yellow,54.2908,-60.0214,90.0,0.000869565,0.000869565,1.28517E-20
blue,59.4727,-60.8721,91.0,0.000571429,0.000571429,-4.83644E-21
yellow,55.0806,-64.901,92.0,0.000540541,0.000540541,-1.44546E-20
yellow,53.9202,-67.7639,93.0,0.000714286,0.000714286,-1.92653E-20
yellow,54.4343,-66.4313,94.0,0.000588235,0.000588235,-1.19786E-20
yellow,38.4569,-74.2286,95.0,0.000714286,0.000714286,5.79034E-23
yellow,52.9889,-69.2394,96.0,0.0022291,0.0022291,-3.14142E-20
blue,59.8121,-63.4927,97.0,0.000588235,0.000588235,1.22291E-21
yellow,51.8271,-70.6173,98.0,0.00318966,0.00318966,-8.92479E-21
yellow,50.6004,-71.4991,99.0,0.000588235,0.000588235,-3.82598E-21
yellow,48.7093,-72.1431,100.0,0.00230769,0.00230769,-1.68576E-20
yellow,46.9522,-72.7398,101.0,0.00324074,0.00324074,5.74129E-20
blue,47.7401,-76.4158,102.0,0.000645161,0.000645161,-9.19971E-21
blue,52.0478,-74.785,103.0,0.000526316,0.000526316,-6.15492E-21
blue,49.9083,-75.5387,104.0,0.0104255,0.0104255,-5.58287E-19
blue,58.9342,-68.3904,105.0,0.000588235,0.000588235,7.23572E-21
blue,53.815,-73.6407,106.0,0.00318966,0.00318966,-3.4994E-20
blue,59.5319,-65.8983,107.0,0.000588235,0.000588235,-7.10057E-21
yellow,41.5997,-73.8652,108.0,0.000588235,0.000588235,6.44308E-21
yellow,55.1705,-61.7858,109.0,0.000869565,0.000869565,-3.96031E-21
